Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Nur Aisyah binti Aziz,Female,"Bachelor of Computer Science, Universiti Kebangsaan Malaysia, Bangi, 2002.",Maybank,nuraisyah.aziz@example.com,linkedin.com/in/nuraisyahaziz-it,+60 19-234 5678,Malaysian,Senior Systems Administrator.,Bachelor of Computer Science,19 years,"1. PowerShell
2. Bash
3. Windows Server
4. Linux
5. AWS
6. Azure
7. VMware
8. Hyper-V
9. Firewall setup
10. VPN configuration
11. LAN/WAN setup
12. Cloud migration
13. Cloud resource management
14. Virtualization technology deployment
15. Automation
16. Scripting
17. Cybersecurity protocol development
18. Vulnerability assessment
19. Data protection strategy formulation
20. Technical troubleshooting",System Administration_17.docx,Nur Aisyah binti Aziz,Reject,Overqualified
Phuc Nguyen,Male,"Bachelor of Science in Computer Science, Hanoi University of Science and Technology, Hanoi, Vietnam, 2010.",FPT Corporation,phuc.nguyen@example.com,linkedin.com/in/phucnguyen-it,+84 912 345 678,Vietnamese,Systems Administrator,Bachelor of Science in Computer Science,14 years,"1. Configuration of server environments (Windows and Linux)
2. Maintenance of server environments
3. Troubleshooting of server environments
4. Setup of network infrastructures
5. Maintenance of network infrastructures
6. Configuration of routers
7. Configuration of switches
8. Configuration of firewalls
9. Configuration of VPNs
10. Deployment of cloud platforms (AWS and Azure)
11. Management of cloud platforms (AWS and Azure)
12. Scaling of cloud resources
13. Optimization of cloud operations
14. Utilization of virtualization tools (VMware and Hyper-V)
15. Automation of repetitive tasks
16. System deployments using scripting languages (PowerShell and Bash)
17. Problem-solving for complex technical issues
18. Vulnerability assessments
19. Compliance with data protection regulations
20. Scripting in PowerShell
21. Scripting in Bash
22. Configuration of Windows server environments
23. Configuration of Linux server environments",System Administration_20.docx,Phuc Nguyen,Reject,Does not show formation and implimentation of IT policies
Ahmed Al-Maktoum,Male,"Bachelor of Science in Computer Engineering, Khalifa University, Abu Dhabi, UAE, 2017.",Al-Futtaim Group,ahmed.almaktoum@example.com,linkedin.com/in/ahmedalmaktoum,+971 55 123 4567,Emirati,Systems Administrator.,Bachelor of Science in Computer Engineering.,22 years,"1. Windows Server management
2. Linux management (Ubuntu, CentOS)
3. VMware
4. Hyper-V
5. AWS
6. Azure
7. Network configuration
8. Network security
9. Router setup
10. Switch setup
11. Firewall setup
12. VPN setup
13. PowerShell scripting
14. Bash scripting
15. Data protection protocols
16. Compliance standards
17. System deployment
18. System configuration
19. Cloud-based infrastructure management
20. Virtualized environment management",Mid-Level Systems Administrator_3.docx,Ahmed Al-Maktoum,Accept,Has the required skill set
Ethan Turner,Male,"Bachelor of Information Technology, University of Technology Sydney, 2015.",Dynamic Web Hosting,ethan.turner@example.com,https://www.linkedin.com/in/ethanturner,+61 400 123 456,Australian,Senior Systems Administrator,Bachelor of Information Technology,8.5 years.,"1. Windows Server management
2. Linux (CentOS, Ubuntu) management
3. MacOS management
4. Active Directory configuration
5. DNS configuration
6. DHCP configuration
7. VPN configuration
8. VMware ESXi
9. vSphere
10. Microsoft Hyper-V
11. AWS deployment
12. Azure deployment
13. EC2 deployment
14. S3 deployment
15. Azure Active Directory
16. Office 365 deployment
17. Firewall configuration
18. Endpoint security solutions
19. PowerShell
20. Bash
21. Ansible
22. Cloud infrastructure management
23. Network security principles
24. Scripting
25. Automation",Senior Systems Administrator_1.docx,Ethan Turner,Accept,Has shown the ability to unexpected situations
Mehmet Yılmaz,Male,"Bachelor of Science in Information Systems, Istanbul Technical University, Istanbul, Turkey, 2010.",Vodafone Turkey,mehmet.yilmaz@example.com,linkedin.com/in/mehmetyilmaz-it,+90 555 123 4567,Turkish,Systems Administrator.,Bachelor of Science in Information Systems,11 years.,"1. Server Management
2. Network Architecture
3. Cloud Computing (AWS, Azure)
4. Virtualization (VMware, Hyper-V)
5. Cybersecurity
6. Scripting (PowerShell, Bash)
7. Troubleshooting
8. Firewall Configuration
9. VPN Solutions
10. LAN/WAN Setup
11. System Administration
12. Data Protection Strategies
13. Vulnerability Assessments",System Administration_19.docx,Mehmet Yılmaz,Reject,Does not display sufficient network configurations
Emily Carter,Female,"Bachelor of Science in Information Technology, University of Toronto, Toronto, ON, 2018",Bell Canada.,emily.carter@example.com,https://linkedin.com/in/emilycarter-it,+1 416 555 1234,Canadian,Junior Systems Administrator,Bachelor of Science in Information Technology.,5 years,"1. Windows server environment support
2. Linux server environment support
3. System installation
4. System updates
5. System maintenance
6. Network troubleshooting
7. Router configuration
8. Switch configuration
9. Wi-Fi configuration
10. Cloud storage (AWS, Azure)
11. Virtual machines (AWS, Azure)
12. VMware virtualization
13. Hyper-V virtualization
14. PowerShell scripting
15. Bash scripting
16. Security patch application
17. System monitoring for security breaches or vulnerabilities
18. User account management
19. Server health checks
20. System backups",System Administration_23.docx,Emily Carter,Reject,Lacks the required professional experience
Sara Al-Hassan,Female,"Bachelor of Science in Information Technology, Zayed University, Dubai, UAE, 2022",Emirates Technology Solutions.,sara.alhassan@example.com,linkedin.com/in/saraalhassan,+971 50 678 1234,Emirati,IT Support Intern,Bachelor of Science in Information Technology,0.5 years,"1. Windows system administration
2. Linux system administration
3. Setup and configuration
4. Routine maintenance
5. Network topologies
6. TCP/IP protocols
7. Firewalls
8. VPNs
9. VMware
10. VirtualBox
11. Cloud computing
12. AWS
13. Azure
14. PowerShell scripting
15. Bash scripting
16. Python programming
17. Raspberry Pi development
18. IoT device integration
19. Security measures
20. Scalability for future growth",Entry-Level Systems Administrator_4.docx,Sara Al-Hassan,Reject,Still at entry level in terms of professional experience
Olivia Harris,Female,"Bachelor of Science in Information Technology, Monash University, Melbourne, VIC, 2016",Vertex Solutions,olivia.harris@example.com,linkedin.com/in/oliviaharris,+61 411 223 344,Australian,Systems Administrator.,Bachelor of Science in Information Technology,8 years,"1. Proficient in administering Windows server environments
2. Proficient in administering Linux server environments
3. System monitoring
4. Timely updates
5. Patch management
6. VMware deployment
7. VMware management
8. VMware optimization
9. AWS deployment
10. AWS management
11. AWS storage solutions
12. AWS cloud networking
13. Azure deployment
14. Azure management
15. Firewall configuration
16. Firewall management
17. VPN configuration
18. VPN management
19. Security protocol configuration
20. PowerShell scripting
21. Bash scripting
22. Automation
23. Cloud services proficiency
24. Network security
25. System architecture
26. Performance optimization
27. Cloud migration
28. Backup and disaster recovery procedures
29. Data security
30. System reliability",Mid-Level Systems Administrator_2.docx,Olivia Harris,Reject,Number of years in work experience does not match the required one
Tariq Al-Hamdi,Male,"Bachelor of Science in Network Engineering, Sana'a University, Sana'a, Yemen, 2010.",Alkuraimi Islamic Microfinance Bank,tariq.alhamdi@example.com,linkedin.com/in/tariqalhamdi-it,+967 123 456 789,Yemeni,Systems Administrator.,Bachelor of Science in Network Engineering.,14 years,"1. Configuring server environments
2. Managing server environments
3. Optimizing server environments
4. Designing network infrastructures
5. Maintaining network infrastructures
6. Implementing routers
7. Implementing switches
8. Implementing firewalls
9. Implementing VPNs
10. Deploying cloud environments (AWS, Azure)
11. Managing cloud environments (AWS, Azure)
12. Implementing virtualization solutions (VMware, Hyper-V)
13. Performing vulnerability assessments
14. Enforcing information security standards
15. Scripting with PowerShell
16. Scripting with Bash
17. Automating routine tasks
18. System deployments
19. Diagnostic skills
20. Troubleshooting hardware issues
21. Troubleshooting software issues
22. Troubleshooting networking issues",System Administration_21.docx,Tariq Al-Hamdi,Reject,Does not show experience in training users
Mariam Al-Hassan,Female,"Bachelor of Science in Information Technology, Ain Shams University, Cairo, Egypt, 2019",Innovative Enterprises,mariam.alhassan@example.com,linkedin.com/in/mariamalhassan,+20 100 555 0102,Egyptian,Systems Administrator,Bachelor of Science in Information Technology,5.5 years,"1. Windows Server 2016/2019 management
2. Linux (CentOS, Ubuntu) management
3. Active Directory management
4. VMware ESXi setup and maintenance
5. Microsoft Hyper-V setup and maintenance
6. Virtual machine management
7. Resource optimization
8. TCP/IP protocol understanding
9. Firewall configuration
10. VPN setup
11. Cisco device management
12. Juniper device management
13. AWS deployment and management
14. Azure deployment and management
15. IaaS solution management
16. PowerShell scripting
17. Bash scripting
18. System deployment automation
19. System documentation
20. User guidelines creation",Mid-Level Systems Administrator.docx,Mariam Al-Hassan,Reject,Is at entry level 
